id,title_en,category,relevance,purpose,theme,monthly,n_rows,n_time,t_start,t_end,median,magnitude_order,top_entities
2684,Subscriber electricity consumption by region (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_with_regions,0,15,9,2016,2024,3945.1,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
2685,Enterprise / organisation electricity supply (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,4970.9,3,Republic of Uzbekistan
2686,Housing sector electricity supply (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,12779.8,4,Republic of Uzbekistan
3167,Total electricity supply (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,60180.8,4,Republic of Uzbekistan
3169,Industrial sector electricity supply (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,19469.0,4,Republic of Uzbekistan
3171,Agricultural sector electricity supply (mln kWh),energy,PRIMARY,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,9202.4,4,Republic of Uzbekistan
552,Industrial production volume (annual),industry,PRIMARY,INDUSTRIAL ACTIVITY DRIVER,national_with_regions,0,221,15,2010,2024,341.4,5,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
569,Industrial production index (annual),industry,PRIMARY,INDUSTRIAL ACTIVITY DRIVER,national_with_regions,0,221,15,2010,2024,107.3,3,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
1326,Fixed-capital investment volume (annual),investment,PRIMARY,INVESTMENT DRIVER (capacity buildout proxy),national_with_regions,0,221,15,2010,2024,242.9,5,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
567,Employed population (thsd),labour,PRIMARY,LABOUR DRIVER,national_with_regions,0,221,16,2010,2025,64.4,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
321,Total income of population (bln UZS),living,PRIMARY,living,national_single,0,1,16,2010,2025,290155.4,6,Republic of Uzbekistan
1291,Annual CPI YoY,prices,PRIMARY,PRICE / TARIFF DRIVER (for elasticity),international,0,27,11,2010,2020,108.3,2,Cumulative index | Food products | Non-food products | Services | Bakery products
1578,Annual industrial PPI YoY,prices,PRIMARY,PRICE / TARIFF DRIVER (for elasticity),national_single,0,1,26,2000,2025,117.15,2,Republic of Uzbekistan
2704,Retail trade volume (annual),trade,PRIMARY,HOUSEHOLD DEMAND PROXY,national_with_regions,0,221,15,2010,2024,362.8,5,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
1439,Total agricultural production (annual),agriculture,STRONG,agriculture,national_with_regions,0,15,15,2010,2024,9824.6,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1451,Total crop production (annual),agriculture,STRONG,agriculture,national_with_regions,0,15,15,2010,2024,5267.1,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1454,Total agricultural production growth rate,agriculture,STRONG,agriculture,national_with_regions,0,15,15,2010,2024,104.2,2,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
420,SME share of GDP,business,STRONG,INDUSTRIAL CONNECTIONS PROXY,national_with_regions,0,15,17,2010,2026-Q1,71.2,1,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
2403,Construction work volume (monthly),construction,STRONG,CONSTRUCTION DRIVER (load growth proxy),national_with_regions,1,15,64,2021-M01,2026-M04,3965.5,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
2404,Construction growth rate (annual),construction,STRONG,CONSTRUCTION DRIVER (load growth proxy),national_with_regions,0,221,15,2010,2024,111.6,3,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
2835,Working-age population (thsd),demography,STRONG,POPULATION DRIVER,national_with_regions,0,15,15,2011,2025,1541.4,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1569,Pollutants emitted to atmosphere (kt),ecology,STRONG,EMISSIONS TARGET (CO2),national_with_regions,0,15,15,2010,2024,37.7,3,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
444,Heat (thermal) energy production by region (thsd Gcal),energy,STRONG,TARGET or PRIMARY ENERGY DRIVER (model spine),national_with_regions,0,15,15,2010,2024,267.1,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
474,Oil extraction (thsd tonnes),energy,STRONG,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,813.6,3,Republic of Uzbekistan
510,Gas condensate extraction (thsd tonnes),energy,STRONG,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,1765.4,3,Republic of Uzbekistan
2687,Per-capita subscriber electricity consumption (kWh),energy,STRONG,TARGET or PRIMARY ENERGY DRIVER (model spine),national_with_regions,0,15,9,2016,2024,1432.3,3,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
3168,Per-capita electricity supply,energy,STRONG,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,1.9,0,Republic of Uzbekistan
3170,Construction sector electricity supply (mln kWh),energy,STRONG,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,373.4,3,Republic of Uzbekistan
3172,Transport sector electricity supply (mln kWh),energy,STRONG,TARGET or PRIMARY ENERGY DRIVER (model spine),national_single,0,1,15,2010,2024,1214.4,3,Republic of Uzbekistan
1243,Apartments with natural gas (share),environment,STRONG,HOUSING / AC PENETRATION PROXY,national_with_regions,0,221,15,2010,2024,66.7,2,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
1244,Total housing stock area (mln m²),environment,STRONG,HOUSING / AC PENETRATION PROXY,national_with_regions,0,222,15,2010,2024,2532824.0,8,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Taxiatosh city | Amudarya district
1245,Number of residential apartments,environment,STRONG,HOUSING / AC PENETRATION PROXY,national_with_regions,0,221,15,2010,2024,29436.0,6,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
1143,Goods export FOB prices (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),national_single,0,1,15,2010,2024,11687.9,4,Republic of Uzbekistan
1151,Goods import CIF prices (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),national_single,0,1,15,2010,2024,12997.3,4,Republic of Uzbekistan
1176,Import volume by country (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),international,0,234,15,2010,2024,7.68,7,Cuba | Côte d’Ivoire | Papua New Guinea | Tuvalu | Chad
1189,Export by product categories (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),international,0,23,13,2010,2022,228.6,4,"Food and Beverage | Raw materials | Processed | Source products for industry, not elsewhere classified | Raw materials"
1501,Services export by type (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),international,0,10,15,2010,2024,80.2,3,Export of services | Maintenance and repair services not elsewhere classified | Transport | Trips (tourism) | Insurance and pension services
1502,Services import by type (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),international,0,10,15,2010,2024,74.0,3,Import Services | Maintenance and repair services not elsewhere classified | Transport | Trips (tourism) | Insurance and pension services
1506,Import by product categories (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),international,0,23,13,2010,2022,809.2,4,"Food and Beverage | Raw materials | Processed | Source products for industry, not elsewhere classified | Raw materials"
2358,Foreign trade volume (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),national_with_regions,0,221,15,2010,2024,26.7,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
3078,Goods export volume HS 2-digit (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),international,0,96,15,2010,2024,7966.15,6,"Articles of clothing and clothing accessories, other than knitted or crocheted | Cotton | Cork and its products | Tobacco and industrial tobacco substitutes; products containing or not containing nicotine intended to be inhaled without burning; other products containing nicotine and intended for the intake of nicotine into the human body | Salt; sulphur; earths and stone; plastering materials, lime and cement"
3087,Goods import volume HS 2-digit (annual),foreign_trade,STRONG,EXTERNAL DEMAND DRIVER (gas/oil exports = energy),international,0,96,15,2010,2024,30555.85,6,"Articles of clothing and clothing accessories, other than knitted or crocheted | Cotton | Cork and its products | Tobacco and industrial tobacco substitutes; products containing or not containing nicotine intended to be inhaled without burning; other products containing nicotine and intended for the intake of nicotine into the human body | Salt; sulphur; earths and stone; plastering materials, lime and cement"
555,Mining and quarrying production volume,industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,national_with_regions,0,15,15,2010,2024,175.0,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
558,Manufacturing production growth (monthly),industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,national_single,0,1,16,2010,2025,54.5,1,Republic of Uzbekistan
559,Manufacturing production volume,industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,national_single,0,1,16,2010,2025,51.0,1,Republic of Uzbekistan
562,Industrial production index by activity (monthly),industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,international,1,29,87,2019-M01,2026-M03,105.5,2,"Industrial production | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
568,Heavy industry output,industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,national_single,0,1,16,2010,2025,259.5,2,Republic of Uzbekistan
571,Industrial production index by activity (annual),industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,international,0,29,15,2010,2024,107.2,2,"Industrial production | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
590,Industrial production by activity (monthly),industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,international,1,29,87,2019-M01,2026-M03,3865.7,6,"Industrial production | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
604,Industrial production by activity (annual),industry,STRONG,INDUSTRIAL ACTIVITY DRIVER,international,0,29,15,2010,2024,3402.0,5,"Industrial production | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
406,Fixed-capital investment growth rate (annual),investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),national_with_regions,0,221,15,2010,2024,110.4,3,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
432,Fixed-capital investment by asset type,investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),international,0,16,6,2019,2024,2056.3,5,"Residential buildings | Non-residential buildings | Other facilities | Land improvement | Machinery and equipment, total"
1328,Per-capita fixed-capital investment,investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),national_with_regions,0,221,15,2010,2024,1537.6,5,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
1331,Fixed-capital investment growth (quarterly),investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),national_with_regions,0,15,25,2020-Q1,2026-Q1,113.4,2,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1336,FDI + credits share in fixed-capital investment,investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),national_with_regions,0,15,25,2000,2024,19.8,1,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1340,Fixed-capital investment as % of GDP,investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),national_single,0,1,25,2000,2024,20.9,1,Republic of Uzbekistan
1561,Fixed-capital investment (quarterly),investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),national_with_regions,0,15,25,2020-Q1,2026-Q1,11172.4,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1905,New residential floor space (annual),investment,STRONG,INVESTMENT DRIVER (capacity buildout proxy),national_with_regions,0,221,15,2010,2024,55.7,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
500,"Average nominal monthly wage, annual (UZS)",labour,STRONG,LABOUR DRIVER,national_with_regions,0,221,8,2017,2024,1968021.45,7,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
506,Average wage by economic activity (quarterly),labour,STRONG,LABOUR DRIVER,international,0,19,37,2017-Q1,2026-Q1,3085721.5,7,"Agriculture, forestry and fisheries | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
515,Labour resources count (thsd),labour,STRONG,LABOUR DRIVER,national_with_regions,0,221,16,2010,2025,90.9,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
521,Working-age population (thsd),labour,STRONG,LABOUR DRIVER,national_with_regions,0,15,16,2010,2025,1505.2,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
522,Average nominal monthly wage (quarterly),labour,STRONG,LABOUR DRIVER,national_with_regions,0,221,37,2017-Q1,2026-Q1,2377216.6,7,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
532,Economic activity rate (%),labour,STRONG,LABOUR DRIVER,national_with_regions,0,15,16,2010,2025,72.65,1,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
554,Economically active population (thsd),labour,STRONG,LABOUR DRIVER,national_with_regions,0,221,16,2010,2025,69.0,4,Republic of Uzbekistan | Republic of Karakalpakstan | Nukus city | Amudarya district | Beruniy  district
1311,Employment rate (%),labour,STRONG,LABOUR DRIVER,national_with_regions,0,15,16,2010,2025,67.1,1,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1315,Employed by economic activity (thsd),labour,STRONG,LABOUR DRIVER,international,0,19,16,2010,2025,305.4,3,"Agriculture, forestry and fisheries | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
329,Per capita income by region (UZS),living,STRONG,living,national_with_regions,0,15,16,2010,2025,8771.15,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
334,Total income growth rate (% YoY),living,STRONG,living,national_single,0,1,16,2010,2025,121.2,2,Republic of Uzbekistan
403,Real per-capita income by region,living,STRONG,living,national_with_regions,0,15,16,2010,2025,7739.5,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
410,Real total income volume,living,STRONG,living,national_single,0,1,16,2010,2025,254939.0,6,Republic of Uzbekistan
434,Real income growth by region,living,STRONG,living,national_with_regions,0,15,16,2010,2025,108.2,2,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
443,Real income growth rate,living,STRONG,living,national_single,0,1,16,2010,2025,110.15,2,Republic of Uzbekistan
543,Televisions per 100 households,living,STRONG,living,national_single,0,1,16,2010,2025,154.5,2,Republic of Uzbekistan
1317,Per-capita income growth by region,living,STRONG,living,national_single,0,1,16,2010,2025,7.05,0,Republic of Uzbekistan
1325,Average household size,living,STRONG,living,national_with_regions,0,15,16,2010,2025,5.1,0,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1333,Per-capita income growth rate,living,STRONG,living,national_with_regions,0,15,16,2010,2025,118.25,2,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1285,"CPI dynamics, month-on-month",prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,28,132,2010-М01,2020-М12,100.45,2,Cumulative index | Food products | Non-food products | Services | Bakery products
1289,Annual CPI vs prior December,prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,27,11,2010,2020,108.6,2,Cumulative index | Food products | Non-food products | Services | Bakery products
1294,Transport service tariff index (annual),prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),national_single,0,1,26,2000,2025,115.265,2,Republic of Uzbekistan
1295,Transport service tariff index (YoY),prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),national_single,0,1,26,2000,2025,116.1,2,Republic of Uzbekistan
1301,PPI composite by construction component (monthly),prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,64,196,2010-М01,2026-M04,100.0,2,Composite index | Construction and installation works | Material costs | Electricity | Electricity
1305,Regional CPI (quarterly),prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),national_with_regions,0,15,17,2022-Q1,2026-Q1,101.7,2,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1308,Agricultural product prices (monthly),prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,41,64,2021-М01,2026-M04,10521.35,5,Rice | Barley | Wheat | Corn | Bran
1314,PPI by HS classification (monthly),prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,116,87,2019-М01,2026-M03,100.0,2,"Composite index | LIVE ANIMALS; ANIMAL PRODUCTS | LIVE ANIMALS | MEAT AND  MEAT PREPARATIONS | FISH, CRUSTACEANS, MOLLUSCS AND AQUATIC INVERTEBRATES, AND PREPARATIONS THEREOF"
1321,PPI by HS classification (annual),prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,115,7,2019,2025,108.4,2,"Composite index | LIVE ANIMALS; ANIMAL PRODUCTS | LIVE ANIMALS | MEAT AND  MEAT PREPARATIONS | FISH, CRUSTACEANS, MOLLUSCS AND AQUATIC INVERTEBRATES, AND PREPARATIONS THEREOF"
1577,Annual industrial PPI vs prior Dec,prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),national_single,0,1,26,2000,2025,116.7,2,Republic of Uzbekistan
2959,Annual industrial PPI by category,prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,16,10,2016,2025,113.15,2,"Composite index | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
2960,Annual industrial PPI YoY by category,prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),international,0,16,10,2016,2025,114.9,2,"Composite index | Mining and quarrying | Manufacturing industry | Electricity, gas, steam and air conditioning | Water supply; sewerage, waste collection and disposal"
3003,Annual CPI dynamics vs prior Dec,prices,STRONG,PRICE / TARIFF DRIVER (for elasticity),national_single,0,1,26,2000,2025,107.7,2,Republic of Uzbekistan
325,Mobile communication revenue share,services,STRONG,SECTORAL ACTIVITY DRIVER,national_single,0,1,25,2000,2024,51.1,1,Republic of Uzbekistan
1206,Market services growth rate by type (annual),services,STRONG,SECTORAL ACTIVITY DRIVER,international,0,13,16,2010,2025,114.75,2,Trade | Information and communication | Transport activities | Accommodation and food service activities | Financial activities
1207,Motor transport services volume,services,STRONG,SECTORAL ACTIVITY DRIVER,national_with_regions,0,15,16,2010,2025,1543.0500000000002,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1208,Information & communication services volume,services,STRONG,SECTORAL ACTIVITY DRIVER,national_with_regions,0,15,16,2010,2025,404.6,4,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1210,Market services by region (annual),services,STRONG,SECTORAL ACTIVITY DRIVER,national_with_regions,0,15,16,2010,2025,10053.2,6,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1213,Transport services volume,services,STRONG,SECTORAL ACTIVITY DRIVER,national_with_regions,0,15,16,2010,2025,1822.25,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1222,Trade services volume,services,STRONG,SECTORAL ACTIVITY DRIVER,national_with_regions,0,15,16,2010,2025,2417.9,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1223,Accommodation and food services volume,services,STRONG,SECTORAL ACTIVITY DRIVER,national_with_regions,0,15,16,2010,2025,1781.3,5,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
1269,Internet subscribers per 100 pop,services,STRONG,SECTORAL ACTIVITY DRIVER,national_with_regions,0,15,10,2015,2024,48.95,2,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
2522,Market services volume by type (annual),services,STRONG,SECTORAL ACTIVITY DRIVER,international,0,13,16,2010,2025,7086.8,5,Wholesale and retail trade; repair of motor vehicles and motorcycles | Transportation and storage | Accommodation and food services | Information and communication | Financial and insurance activities
3178,Broadband internet subscribers,services,STRONG,SECTORAL ACTIVITY DRIVER,national_single,0,1,10,2015,2024,902.7,3,Republic of Uzbekistan
1494,Wholesale trade volume (annual),trade,STRONG,HOUSEHOLD DEMAND PROXY,national_with_regions,0,15,15,2010,2024,2198747.1,8,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
2699,Retail trade volume (monthly),trade,STRONG,HOUSEHOLD DEMAND PROXY,national_with_regions,1,15,75,2020-M01,2026-M03,7625302.2,8,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
2705,Retail trade growth (annual),trade,STRONG,HOUSEHOLD DEMAND PROXY,national_with_regions,0,15,15,2010,2024,112.0,2,Republic of Uzbekistan | Republic of Karakalpakstan | Andijan region | Bukhara region | Jizzakh region
563,Metro passenger turnover,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,0.5,0,Republic of Uzbekistan
573,Rail passenger turnover (annual),transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,3.0,0,Republic of Uzbekistan
592,Tram passenger turnover,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,0.1,-1,Republic of Uzbekistan
594,Trolleybus passenger turnover,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,0.02,-1,Republic of Uzbekistan
622,Metro passengers transported,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,70.5,2,Republic of Uzbekistan
634,Rail passengers transported,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,14.9,1,Republic of Uzbekistan
644,Pipeline freight volume (annual),transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,64.5,1,Republic of Uzbekistan
645,Tram passengers transported,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,14.9,1,Republic of Uzbekistan
646,Trolleybus passengers transported,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,0.8,1,Republic of Uzbekistan
648,Pipeline freight turnover (annual),transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,31.1,1,Republic of Uzbekistan
666,Metro track length,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,36.1,1,Republic of Uzbekistan
673,"Main pipeline length, total (km)",transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,13.9,1,Republic of Uzbekistan
675,Gas pipeline length (km),transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,13.8,1,Republic of Uzbekistan
685,Tram track length,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,89.1,2,Republic of Uzbekistan
686,Trolleybus line length,transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,25,2000,2024,38.0,2,Republic of Uzbekistan
3264,Rail freight volume (quarterly),transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,9,2024-Q1,2026-Q1,51.6,2,Republic of Uzbekistan
3265,Pipeline freight volume (quarterly),transport,STRONG,TRANSPORT ENERGY / FREIGHT,national_single,0,1,9,2024-Q1,2026-Q1,31.4,1,Republic of Uzbekistan
